1:2021-04-03 18:47:50:  Connected by ('127.0.0.1', 64764)
2:2021-04-03 18:47:53:  !ALERT!('127.0.0.1', 64764)->A INVALID USERNAME
3:2021-04-03 18:47:56:  admin has logged on
4:2021-04-03 18:47:58:  admin->PaceWall SysAdmin
5:2021-04-03 18:47:58:       ->|Current set HR: 60|Current Max HR 80|Current Min HR 60|Current Pulse intv 3|
0:2021-04-03 18:53:00:  !!!!!!Pulse!!!!!!
1:2021-04-03 18:53:14:  !!!!!!Pulse!!!!!!
2:2021-04-03 18:53:21:  !!!!!!Pulse!!!!!!
3:2021-04-03 18:53:27:  !!!!!!Pulse!!!!!!
4:2021-04-03 18:53:49:  !!!!!!Pulse!!!!!!
5:2021-04-03 18:53:54:  !!!!!!Pulse!!!!!!
6:2021-04-03 18:54:05:  !!!!!!Pulse!!!!!!
